Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000f329,8,"Thursday, February  7, 2013 08:03:41 UTC",-11.0249,164.7498,6.1,10.00,259,"Santa Cruz Islands region"
us,c000f32b,5,"Thursday, February  7, 2013 08:03:30 UTC",0.2447,98.4976,4.9,35.20,48,"Nias region, Indonesia"
us,c000f323,6,"Thursday, February  7, 2013 07:38:18 UTC",-33.6530,77.5848,4.8,10.00,29,"Mid-Indian Ridge"
us,c000f31w,9,"Thursday, February  7, 2013 07:19:51 UTC",-15.5859,-173.1416,5.1,10.00,330,"Tonga"
us,c000f31u,8,"Thursday, February  7, 2013 07:11:19 UTC",-10.9718,165.4921,5.3,10.00,224,"Santa Cruz Islands"
pr,13038001,0,"Thursday, February  7, 2013 06:40:01 UTC",18.7285,-64.2799,2.9,41.00, 6,"Virgin Islands region"
us,c000f30l,7,"Thursday, February  7, 2013 05:27:40 UTC",-21.1997,-176.5650,4.5,229.70,42,"Fiji region"
pr,13038000,0,"Thursday, February  7, 2013 05:20:25 UTC",17.1096,-68.4903,3.7,9.00,15,"Dominican Republic region"
us,c000f306,4,"Thursday, February  7, 2013 03:52:56 UTC",-11.6689,165.0499,5.0,35.00,33,"Santa Cruz Islands"
ak,10652037,1,"Thursday, February  7, 2013 03:21:37 UTC",60.2454,-152.1069,2.5,79.00,30,"Southern Alaska"
us,c000f2zp,6,"Thursday, February  7, 2013 02:59:59 UTC",-11.4297,165.2040,4.9,35.00,90,"Santa Cruz Islands"
us,c000f2ze,6,"Thursday, February  7, 2013 02:56:29 UTC",-10.7355,165.4421,4.9,27.20,128,"Santa Cruz Islands"
us,c000f2zc,5,"Thursday, February  7, 2013 02:46:08 UTC",-10.7669,165.2654,4.8,24.60,54,"Santa Cruz Islands"
us,c000f2zq,3,"Thursday, February  7, 2013 02:42:29 UTC",-11.7530,164.9502,4.9,26.60,111,"Santa Cruz Islands region"
us,c000f2z4,5,"Thursday, February  7, 2013 02:17:24 UTC",-10.6360,164.8235,5.2,52.00,37,"Santa Cruz Islands region"
ak,10651728,1,"Thursday, February  7, 2013 01:09:13 UTC",64.0548,-148.9331,2.6,12.40,23,"Central Alaska"
us,c000f2w6,4,"Thursday, February  7, 2013 01:00:48 UTC",-11.8187,164.8241,5.2,34.20,124,"Santa Cruz Islands region"
us,c000f2x3,3,"Thursday, February  7, 2013 00:56:47 UTC",-11.6668,164.7825,5.1,35.10,75,"Santa Cruz Islands region"
us,c000f2vc,7,"Thursday, February  7, 2013 00:41:31 UTC",1.4251,98.9348,5.1,82.80,64,"northern Sumatra, Indonesia"
us,c000f2ul,8,"Thursday, February  7, 2013 00:30:11 UTC",-11.6644,164.9605,6.2,9.80,243,"Santa Cruz Islands region"
ak,10651692,2,"Thursday, February  7, 2013 00:28:31 UTC",52.8649,-173.6003,2.8,162.90,16,"Andreanof Islands, Aleutian Islands, Alaska"
us,c000f2u2,4,"Thursday, February  7, 2013 00:16:27 UTC",-10.8264,164.8772,4.8,24.70,30,"Santa Cruz Islands region"
us,c000f2u6,4,"Wednesday, February  6, 2013 23:49:35 UTC",-11.7702,164.9420,5.2,10.50,156,"Santa Cruz Islands region"
us,c000f2t0,6,"Wednesday, February  6, 2013 23:39:00 UTC",-11.7665,164.7872,5.0,10.50,105,"Santa Cruz Islands region"
us,a000g2qw,9,"Wednesday, February  6, 2013 23:30:27 UTC",-10.7753,165.0334,5.0,10.20,30,"Santa Cruz Islands"
us,c000f2sb,9,"Wednesday, February  6, 2013 23:23:52 UTC",-10.8612,165.3045,4.8,9.40,28,"Santa Cruz Islands"
us,c000f2qd,3,"Wednesday, February  6, 2013 22:24:26 UTC",-10.9567,165.4408,5.0,10.00,41,"Santa Cruz Islands"
us,c000f2pu,6,"Wednesday, February  6, 2013 22:20:18 UTC",-11.0906,165.6663,5.5,9.90,180,"Santa Cruz Islands"
us,c000f2p0,6,"Wednesday, February  6, 2013 22:12:18 UTC",-1.4833,100.3221,5.5,11.30,153,"southern Sumatra, Indonesia"
us,c000f2qj,5,"Wednesday, February  6, 2013 22:07:39 UTC",-12.1541,165.9952,4.9,10.00,22,"Santa Cruz Islands"
us,c000f2mw,5,"Wednesday, February  6, 2013 21:37:36 UTC",-11.1909,165.7415,4.9,10.30,66,"Santa Cruz Islands"
us,c000f2kw,7,"Wednesday, February  6, 2013 20:42:31 UTC",-23.2246,170.8554,5.1,10.20,61,"southeast of the Loyalty Islands"
us,c000f2kf,5,"Wednesday, February  6, 2013 20:18:40 UTC",46.5060,-27.3727,5.0,14.10,201,"northern Mid-Atlantic Ridge"
nc,71932655,3,"Wednesday, February  6, 2013 19:49:46 UTC",37.3857,-118.6765,2.6,14.20,52,"Central California"
us,c000f2iq,6,"Wednesday, February  6, 2013 19:01:49 UTC",34.3205,80.4633,4.9,35.10,100,"western Xizang"
uu,60012507,4,"Wednesday, February  6, 2013 18:47:01 UTC",37.7835,-113.1282,2.7,7.50,21,"Utah"
us,c000f2hu,8,"Wednesday, February  6, 2013 18:24:57 UTC",36.6169,71.0637,4.1,211.60,18,"Hindu Kush region, Afghanistan"
us,c000f2ht,4,"Wednesday, February  6, 2013 18:17:33 UTC",-11.0696,165.0121,4.9,10.00,27,"Santa Cruz Islands"
us,c000f2ha,6,"Wednesday, February  6, 2013 18:03:20 UTC",-11.1782,165.6276,5.0,10.10,71,"Santa Cruz Islands"
us,c000f2gj,6,"Wednesday, February  6, 2013 17:19:31 UTC",-11.6450,165.0366,5.0,10.10,103,"Santa Cruz Islands"
pr,13037006,0,"Wednesday, February  6, 2013 17:07:15 UTC",19.5480,-64.2500,3.0,65.00, 4,"Virgin Islands region"
us,c000f2g3,7,"Wednesday, February  6, 2013 17:04:08 UTC",-10.6932,164.8863,5.0,10.00,88,"Santa Cruz Islands region"
us,2013lhc8,5,"Wednesday, February  6, 2013 16:39:30 UTC",-10.6779,164.8121,5.0,10.00,37,"Santa Cruz Islands region"
us,c000f2fg,7,"Wednesday, February  6, 2013 16:35:53 UTC",-11.2953,165.6319,5.0,10.10,65,"Santa Cruz Islands"
us,2013lhc3,6,"Wednesday, February  6, 2013 16:10:14 UTC",30.8791,50.0596,4.3,35.00,31,"southern Iran"
nc,71932550,5,"Wednesday, February  6, 2013 16:05:49 UTC",36.5915,-121.0515,2.7,8.00,72,"Central California"
us,c000f2eh,8,"Wednesday, February  6, 2013 15:54:14 UTC",-10.9314,165.4275,5.3,10.10,96,"Santa Cruz Islands"
us,c000f2ed,5,"Wednesday, February  6, 2013 15:30:25 UTC",-10.8116,164.4872,5.0,10.00,75,"Santa Cruz Islands region"
us,2013lhc1,6,"Wednesday, February  6, 2013 14:24:04 UTC",-11.2521,165.1164,5.1,10.00,106,"Santa Cruz Islands"
us,c000f2dm,7,"Wednesday, February  6, 2013 14:20:57 UTC",-10.9474,165.4419,5.3,10.00,181,"Santa Cruz Islands"
pr,13037005,0,"Wednesday, February  6, 2013 14:18:29 UTC",18.6811,-65.0030,2.5,56.00, 6,"Virgin Islands region"
us,2013lhcy,5,"Wednesday, February  6, 2013 14:03:50 UTC",-11.3454,165.0694,5.0,10.00,85,"Santa Cruz Islands"
us,c000f2d8,B,"Wednesday, February  6, 2013 13:54:53 UTC",-10.7976,166.4922,6.0,10.10,329,"Santa Cruz Islands"
us,c000f2db,7,"Wednesday, February  6, 2013 13:50:32 UTC",-10.5330,166.3853,5.3,10.00,106,"Santa Cruz Islands"
us,2013lhcv,6,"Wednesday, February  6, 2013 13:37:05 UTC",-11.0929,165.0820,4.9,10.00,34,"Santa Cruz Islands"
us,c000f2cb,7,"Wednesday, February  6, 2013 12:58:46 UTC",-11.2620,165.7756,4.9,10.00,53,"Santa Cruz Islands"
us,c000f2bn,7,"Wednesday, February  6, 2013 12:44:29 UTC",-11.5825,165.4990,5.5,9.80,239,"Santa Cruz Islands"
us,c000f2cd,3,"Wednesday, February  6, 2013 12:31:55 UTC",-1.0409,146.9225,4.9,34.50,67,"Admiralty Islands region, Papua New Guinea"
nc,71932465,3,"Wednesday, February  6, 2013 12:28:51 UTC",40.1672,-121.1212,2.6,0.00,52,"Northern California"
us,c000f2c8,4,"Wednesday, February  6, 2013 12:04:40 UTC",-10.7915,165.9433,4.9,10.10,23,"Santa Cruz Islands"
us,c000f2ap,6,"Wednesday, February  6, 2013 11:53:54 UTC",-11.2545,165.7341,5.9,9.90,258,"Santa Cruz Islands"
us,c000f2aa,7,"Wednesday, February  6, 2013 11:24:02 UTC",-10.7979,164.5798,5.1,9.90,106,"Santa Cruz Islands region"
pr,13037004,0,"Wednesday, February  6, 2013 11:05:13 UTC",19.5540,-64.6368,3.3,39.00, 5,"Virgin Islands region"
us,c000f2a4,8,"Wednesday, February  6, 2013 11:03:45 UTC",-10.7296,165.1375,5.6,9.80,281,"Santa Cruz Islands"
us,c000f29g,6,"Wednesday, February  6, 2013 10:33:17 UTC",-10.6358,164.8081,5.7,9.90,241,"Santa Cruz Islands region"
us,c000f2a5,5,"Wednesday, February  6, 2013 10:27:27 UTC",-10.8406,164.7207,4.9,10.00,41,"Santa Cruz Islands region"
us,c000f299,7,"Wednesday, February  6, 2013 10:20:34 UTC",-10.8699,165.2724,5.5,10.00,239,"Santa Cruz Islands"
us,c000f295,6,"Wednesday, February  6, 2013 10:12:30 UTC",-11.1151,165.3794,5.3,10.00,191,"Santa Cruz Islands"
us,c000f28x,6,"Wednesday, February  6, 2013 10:00:15 UTC",-12.0657,165.7949,4.9,10.00,38,"Santa Cruz Islands"
us,c000f280,B,"Wednesday, February  6, 2013 09:24:00 UTC",-10.7176,164.2281,5.2,9.60,135,"Santa Cruz Islands region"
us,c000f27f,8,"Wednesday, February  6, 2013 08:45:04 UTC",-11.6702,165.4684,5.0,10.30,88,"Santa Cruz Islands"
us,c000f27i,4,"Wednesday, February  6, 2013 08:42:27 UTC",-10.9978,165.5009,4.7,10.00,63,"Santa Cruz Islands"
us,c000f26z,5,"Wednesday, February  6, 2013 08:27:04 UTC",-10.7824,165.5308,4.7,9.90,59,"Santa Cruz Islands"
us,c000f26n,6,"Wednesday, February  6, 2013 08:04:35 UTC",-15.9880,-172.2229,5.0,34.00,221,"Samoa Islands region"
us,c000f265,5,"Wednesday, February  6, 2013 07:59:53 UTC",53.6700,-163.2042,4.4,22.20,94,"Unimak Island region, Alaska"
us,c000f269,5,"Wednesday, February  6, 2013 07:57:52 UTC",-11.2867,165.4922,4.9,9.90,62,"Santa Cruz Islands"
us,c000f25x,6,"Wednesday, February  6, 2013 07:42:46 UTC",-11.0007,165.4760,4.8,10.10,66,"Santa Cruz Islands"
us,c000f25k,4,"Wednesday, February  6, 2013 07:35:57 UTC",-10.7439,164.8621,4.7,10.00,34,"Santa Cruz Islands region"
us,c000f25e,3,"Wednesday, February  6, 2013 07:29:30 UTC",-11.5466,165.1588,4.8,10.00,70,"Santa Cruz Islands"
us,c000f255,4,"Wednesday, February  6, 2013 07:23:12 UTC",-10.9010,165.3559,5.0,10.10,120,"Santa Cruz Islands"
us,c000f24t,A,"Wednesday, February  6, 2013 07:13:48 UTC",-10.6371,165.3050,5.3,10.10,212,"Santa Cruz Islands"
us,c000f246,7,"Wednesday, February  6, 2013 06:53:20 UTC",-10.6348,164.9673,5.6,10.00,281,"Santa Cruz Islands region"
us,c000f23y,6,"Wednesday, February  6, 2013 06:35:19 UTC",-10.7840,164.5123,6.3,10.10,284,"Santa Cruz Islands region"
us,c000f23d,7,"Wednesday, February  6, 2013 06:09:37 UTC",-11.0714,164.8114,5.2,10.00,145,"Santa Cruz Islands region"
us,c000f236,8,"Wednesday, February  6, 2013 06:02:36 UTC",-10.7797,164.5710,5.2,10.00,122,"Santa Cruz Islands region"
us,c000f230,9,"Wednesday, February  6, 2013 05:58:41 UTC",-10.7997,165.2312,4.9,10.10,104,"Santa Cruz Islands"
us,c000f22s,9,"Wednesday, February  6, 2013 05:48:54 UTC",-11.0656,164.7565,5.2,10.30,52,"Santa Cruz Islands region"
us,c000f22z,4,"Wednesday, February  6, 2013 05:48:16 UTC",-10.6939,165.6002,4.8,10.10,63,"Santa Cruz Islands"
us,c000f223,6,"Wednesday, February  6, 2013 05:35:33 UTC",-10.7448,165.3262,5.0,15.00,95,"Santa Cruz Islands"
us,c000f21t,9,"Wednesday, February  6, 2013 05:30:19 UTC",-10.6822,164.2724,5.1,9.80,72,"Santa Cruz Islands region"
us,c000f21m,9,"Wednesday, February  6, 2013 05:24:30 UTC",-11.4326,165.3674,5.1,15.10,126,"Santa Cruz Islands"
us,c000f21c,6,"Wednesday, February  6, 2013 05:16:27 UTC",-10.4257,166.4981,5.3,11.90,129,"Santa Cruz Islands"
us,c000f21a,6,"Wednesday, February  6, 2013 05:13:48 UTC",-10.6202,166.2982,5.2,15.10,138,"Santa Cruz Islands"
us,c000f20v,6,"Wednesday, February  6, 2013 05:04:04 UTC",-11.0295,165.4740,4.9,10.00,77,"Santa Cruz Islands"
us,c000f20q,8,"Wednesday, February  6, 2013 05:01:51 UTC",-11.4077,165.0570,5.2,9.90,157,"Santa Cruz Islands"
us,c000f20m,6,"Wednesday, February  6, 2013 04:56:18 UTC",-11.3019,165.1304,5.0,16.00,84,"Santa Cruz Islands"
pr,13037002,0,"Wednesday, February  6, 2013 04:55:36 UTC",19.5900,-64.7894,3.3,7.00,11,"Virgin Islands region"
hv,60463956,5,"Wednesday, February  6, 2013 04:44:52 UTC",19.3537,-155.8155,3.1,28.40,90,"Island of Hawaii, Hawaii"
us,c000f1zq,6,"Wednesday, February  6, 2013 04:34:50 UTC",-11.3965,164.8467,5.1,35.20,79,"Santa Cruz Islands region"
us,c000f1z1,6,"Wednesday, February  6, 2013 04:20:54 UTC",-10.9100,165.5711,5.2,34.90,129,"Santa Cruz Islands"
us,c000f20j,5,"Wednesday, February  6, 2013 04:20:04 UTC",-10.8833,165.4045,5.0,10.10,76,"Santa Cruz Islands"
us,c000f1ys,6,"Wednesday, February  6, 2013 04:16:29 UTC",-11.0917,164.9040,5.0,10.70,32,"Santa Cruz Islands region"
pr,13037003,0,"Wednesday, February  6, 2013 04:05:58 UTC",18.9873,-64.2033,3.0,50.00, 6,"Virgin Islands region"
nc,71932305,5,"Wednesday, February  6, 2013 04:05:30 UTC",38.8298,-122.8327,2.8,0.70,77,"Northern California"
us,c000f1xv,6,"Wednesday, February  6, 2013 03:49:46 UTC",-10.8932,165.4735,5.6,18.30,287,"Santa Cruz Islands"
us,c000f1xr,9,"Wednesday, February  6, 2013 03:45:10 UTC",-10.6689,165.3117,5.3,33.40,204,"Santa Cruz Islands"
us,c000f1xl,6,"Wednesday, February  6, 2013 03:38:55 UTC",-10.8900,165.2685,5.2,12.10,149,"Santa Cruz Islands"
us,c000f1xa,6,"Wednesday, February  6, 2013 03:28:54 UTC",-11.0526,165.4465,5.3,22.80,136,"Santa Cruz Islands"
us,c000f1xc,5,"Wednesday, February  6, 2013 03:25:18 UTC",-11.1298,165.8065,5.1,9.90,79,"Santa Cruz Islands"
us,c000f1x5,7,"Wednesday, February  6, 2013 03:19:05 UTC",-10.8964,165.2159,5.3,14.90,137,"Santa Cruz Islands"
us,c000f1wr,9,"Wednesday, February  6, 2013 03:11:52 UTC",-10.9355,165.2921,5.2,36.80,93,"Santa Cruz Islands"
us,c000f1we,7,"Wednesday, February  6, 2013 03:06:34 UTC",-11.5131,165.3255,5.1,10.00,106,"Santa Cruz Islands"
us,c000f1xk,6,"Wednesday, February  6, 2013 03:01:03 UTC",-11.0321,165.1059,5.6,20.40,161,"Santa Cruz Islands"
us,c000f1vz,C,"Wednesday, February  6, 2013 02:58:22 UTC",-10.6632,165.1277,5.5,16.90,214,"Santa Cruz Islands"
us,c000f1w3,5,"Wednesday, February  6, 2013 02:57:44 UTC",-10.7546,165.0264,5.1,38.10,137,"Santa Cruz Islands"
us,c000f1vp,5,"Wednesday, February  6, 2013 02:44:26 UTC",-11.2951,165.1106,4.9,38.40,67,"Santa Cruz Islands"
us,c000f1vd,7,"Wednesday, February  6, 2013 02:30:49 UTC",-10.8221,164.9802,5.6,32.50,150,"Santa Cruz Islands region"
hv,60463916,1,"Wednesday, February  6, 2013 02:27:19 UTC",19.2080,-155.5362,2.6,37.20,37,"Island of Hawaii, Hawaii"
us,c000f1uy,6,"Wednesday, February  6, 2013 02:23:11 UTC",-10.9626,165.4018,5.3,28.30,213,"Santa Cruz Islands"
us,c000f1uu,6,"Wednesday, February  6, 2013 02:18:14 UTC",-11.4680,165.6138,5.2,34.40,134,"Santa Cruz Islands"
us,c000f1u2,8,"Wednesday, February  6, 2013 02:06:21 UTC",-10.5968,165.3629,5.2,10.00,96,"Santa Cruz Islands"
us,c000f1ts,A,"Wednesday, February  6, 2013 01:54:15 UTC",-10.4786,165.7721,7.0,9.80,430,"Santa Cruz Islands"
us,c000f1tm,5,"Wednesday, February  6, 2013 01:48:42 UTC",-11.6277,165.9368,5.7,10.00,75,"Santa Cruz Islands"
us,c000f1tb,5,"Wednesday, February  6, 2013 01:33:37 UTC",-10.9219,165.0854,5.6,10.00,62,"Santa Cruz Islands"
us,c000f1se,8,"Wednesday, February  6, 2013 01:23:19 UTC",-11.2325,164.9211,6.4,10.10,350,"Santa Cruz Islands region"
us,c000f1st,5,"Wednesday, February  6, 2013 01:22:12 UTC",-11.3657,165.7679,5.6,10.10,133,"Santa Cruz Islands"
us,c000f1s0,B,"Wednesday, February  6, 2013 01:12:27 UTC",-10.7377,165.1378,8.0,28.70,347,"Santa Cruz Islands"
us,c000f1rw,3,"Wednesday, February  6, 2013 01:00:47 UTC",-4.3520,134.7097,4.6,32.80,18,"near the south coast of Papua, Indonesia"
us,c000f1rp,A,"Wednesday, February  6, 2013 00:46:01 UTC",-10.8706,165.0286,5.3,9.50,110,"Santa Cruz Islands"
pr,13037000,0,"Wednesday, February  6, 2013 00:11:09 UTC",19.0275,-64.7429,2.7,44.00, 6,"Virgin Islands region"
us,c000f1r5,6,"Wednesday, February  6, 2013 00:07:22 UTC",-10.8577,165.2060,6.3,10.00,199,"Santa Cruz Islands"
us,2013lgaz,6,"Tuesday, February  5, 2013 22:03:50 UTC",40.4227,-125.3185,3.5,2.50,13,"offshore Northern California"
us,c000f1kg,9,"Tuesday, February  5, 2013 20:15:10 UTC",-23.6087,-66.7196,4.7,204.90,25,"Jujuy, Argentina"
ak,10650863,2,"Tuesday, February  5, 2013 19:49:16 UTC",52.2213,-168.2007,2.5,39.10,14,"Fox Islands, Aleutian Islands, Alaska"
us,c000f1jz,6,"Tuesday, February  5, 2013 19:39:39 UTC",-10.7531,164.9855,5.1,46.00,145,"Santa Cruz Islands region"
pr,13036003,0,"Tuesday, February  5, 2013 19:11:12 UTC",19.2483,-66.2475,3.3,66.00,12,"Puerto Rico region"
us,c000f1jd,5,"Tuesday, February  5, 2013 19:09:37 UTC",-62.3050,155.0730,5.0,32.80,54,"Balleny Islands region"
pr,13036004,0,"Tuesday, February  5, 2013 18:40:34 UTC",19.7210,-68.5426,3.6,41.00, 9,"Dominican Republic region"
us,c000f1hr,9,"Tuesday, February  5, 2013 18:18:31 UTC",36.4828,70.5766,4.8,214.90,174,"Hindu Kush region, Afghanistan"
us,c000f1g1,4,"Tuesday, February  5, 2013 17:30:49 UTC",-22.6817,-68.9683,4.4,84.10,27,"Antofagasta, Chile"
ak,10650790,1,"Tuesday, February  5, 2013 17:10:30 UTC",59.3207,-152.6572,2.7,49.70,15,"Southern Alaska"
us,2013lgal,4,"Tuesday, February  5, 2013 16:38:01 UTC",55.4425,-35.0325,4.9,5.80,179,"Reykjanes Ridge"
us,c000f1e6,8,"Tuesday, February  5, 2013 16:15:31 UTC",28.8017,128.5949,5.0,57.30,125,"Ryukyu Islands, Japan"
us,c000f1e5,6,"Tuesday, February  5, 2013 15:40:08 UTC",-56.1381,-25.2307,5.0,48.90,24,"South Sandwich Islands region"
ak,10650739,1,"Tuesday, February  5, 2013 15:27:27 UTC",59.7747,-153.2343,2.6,134.80,26,"Southern Alaska"
ci,15281561,2,"Tuesday, February  5, 2013 14:42:01 UTC",34.0705,-117.2372,2.7,14.40,208,"Greater Los Angeles area, California"
us,2013lgah,5,"Tuesday, February  5, 2013 13:31:03 UTC",38.7007,142.0003,4.8,51.40,84,"near the east coast of Honshu, Japan"
ak,10650705,1,"Tuesday, February  5, 2013 13:24:31 UTC",63.3609,-150.7955,2.9,11.20,38,"Central Alaska"
us,2013lgag,4,"Tuesday, February  5, 2013 13:13:48 UTC",38.9157,99.9137,4.1,6.30,22,"northern Qinghai, China"
us,c000f1c3,5,"Tuesday, February  5, 2013 12:43:20 UTC",33.1074,140.5789,4.4,79.20,40,"Izu Islands, Japan region"
pr,13036002,0,"Tuesday, February  5, 2013 12:16:41 UTC",19.3033,-68.6122,3.3,90.00, 6,"Dominican Republic region"
nn,00401855,9,"Tuesday, February  5, 2013 10:24:41 UTC",38.0033,-115.4532,3.3,4.00,23,"Nevada"
ci,15281481,2,"Tuesday, February  5, 2013 08:58:22 UTC",35.0722,-118.9660,2.5,12.40,85,"Central California"
us,c000f1ag,5,"Tuesday, February  5, 2013 08:55:29 UTC",12.1408,-88.5476,4.3,35.00,34,"off the coast of El Salvador"
ak,10650646,2,"Tuesday, February  5, 2013 07:55:09 UTC",51.5826,-178.4418,2.8,4.80,20,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10650635,2,"Tuesday, February  5, 2013 06:25:49 UTC",53.1764,-161.2328,2.9,25.70,14,"south of Alaska"
ci,15281473,2,"Tuesday, February  5, 2013 06:07:50 UTC",32.1615,-115.2112,3.1,18.70,23,"Baja California, Mexico"
pr,13036001,0,"Tuesday, February  5, 2013 05:04:49 UTC",19.0084,-64.2054,3.1,56.00, 8,"Virgin Islands region"
pr,13036000,0,"Tuesday, February  5, 2013 04:52:56 UTC",18.8932,-64.2115,3.2,53.00,15,"Virgin Islands region"
nc,71935341,3,"Tuesday, February  5, 2013 04:27:33 UTC",36.0025,-120.5623,2.5,4.80,96,"Central California"
us,c000f18y,6,"Tuesday, February  5, 2013 03:57:30 UTC",14.0356,92.9496,4.9,28.70,76,"Andaman Islands, India region"
ak,10650584,1,"Tuesday, February  5, 2013 03:30:56 UTC",59.0472,-150.0685,2.5,5.00,12,"Kenai Peninsula, Alaska"
us,c000f18r,5,"Tuesday, February  5, 2013 03:24:52 UTC",45.5192,151.2865,5.0,46.90,326,"Kuril Islands"
nc,71935291,3,"Tuesday, February  5, 2013 02:08:36 UTC",36.9712,-121.6142,2.5,2.70,84,"Northern California"
ak,10650544,2,"Tuesday, February  5, 2013 01:33:26 UTC",51.8788,-174.0367,3.4,37.30,21,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13035005,0,"Monday, February  4, 2013 21:15:06 UTC",18.8694,-64.3210,3.1,39.00, 9,"Virgin Islands region"
pr,13035004,0,"Monday, February  4, 2013 21:04:51 UTC",18.9120,-64.3292,2.5,39.00, 5,"Virgin Islands region"
